Date,Dash_price,Dash_volume
2/14/2014,0.213899,7485
2/15/2014,0.317768,21466
2/17/2014,0.5614,58209
2/18/2014,1.11472,185870
2/19/2014,0.907017,69585
2/20/2014,1.06836,93135
2/21/2014,1.07025,82530
2/22/2014,1.07757,95555
2/23/2014,1.13523,119208
2/25/2014,0.578474,100678
2/26/2014,0.576269,61934
2/27/2014,0.627941,41632
2/28/2014,0.552027,51284
3/1/2014,0.677713,86293
3/2/2014,1.01349,272666
3/3/2014,1.01406,188719
3/4/2014,1.01072,177511
3/5/2014,1.01226,99566
3/6/2014,0.989058,86204
3/7/2014,0.979578,107102
3/8/2014,0.923403,72470
3/9/2014,0.87206,57330
3/10/2014,0.787094,47879
3/11/2014,0.883975,52698
3/12/2014,0.860298,38802
3/13/2014,0.811288,30885
3/15/2014,0.812077,26298
3/16/2014,0.790608,26173
3/17/2014,0.778919,40168
3/18/2014,0.757401,32720
3/19/2014,0.744165,38450
3/20/2014,0.735668,4277
3/21/2014,0.739443,34904
3/22/2014,0.702145,26345
3/23/2014,0.714949,30448
3/24/2014,0.762249,61250
3/25/2014,0.87715,117623
3/26/2014,0.842288,71192
3/27/2014,0.759031,33544
3/28/2014,0.698006,27519
3/30/2014,0.700447,23181
3/31/2014,0.671705,31810
4/1/2014,0.686704171,
4/2/2014,0.623034485,
4/3/2014,0.618368332,
4/4/2014,0.631631389,
4/5/2014,0.655502132,
4/6/2014,0.644560073,
4/7/2014,0.623316,18670
4/8/2014,0.606590048,
4/9/2014,0.577438924,
4/10/2014,0.46517418,
4/11/2014,0.537919897,
4/12/2014,0.562102718,
4/13/2014,0.543488407,
4/14/2014,0.58406429,
4/15/2014,0.650154125,
4/16/2014,0.681979338,
4/17/2014,0.608116944,
4/18/2014,0.784390032,
4/19/2014,0.730304124,
4/20/2014,0.721140504,
4/21/2014,0.703537472,
4/22/2014,0.716991363,61291.02357
4/23/2014,0.8677945,177159.8353
4/24/2014,1.032527038,288863.5539
4/25/2014,1.725113192,655077.7326
4/26/2014,1.72444,1122714.672
4/27/2014,1.673837077,430583.0861
4/28/2014,1.695245231,168996.135
4/29/2014,1.6179355,262867.3
4/30/2014,1.517981984,79668.15401
5/1/2014,1.460843073,193476.09
5/2/2014,1.325985466,164610.6896
5/3/2014,1.171955015,79831.36303
5/4/2014,1.589186787,249774.8694
5/5/2014,1.640787006,267347.6301
5/6/2014,1.57902458,63757.40838
5/7/2014,1.647375,90350.06856
5/8/2014,1.618270452,78368.56888
5/9/2014,2.325175187,448193.8695
5/10/2014,2.624529,743863.2789
5/11/2014,2.57407147,501946.5785
5/12/2014,2.50340496,639149.6907
5/13/2014,2.72441015,359164.45
5/14/2014,3.531761265,1000265.232
5/15/2014,6.3749875,4379350.754
5/16/2014,5.787149452,2186016.556
5/17/2014,4.755025445,1584346.262
5/18/2014,6.13014354,1708311.053
5/19/2014,6.92659135,1590927.524
5/20/2014,6.887721142,1177392.116
5/21/2014,7.942481472,1356247.163
5/22/2014,10.18040968,3427050.762
5/23/2014,13.132854,6738630.942
5/24/2014,11.92689016,3389497.463
5/25/2014,15.08677442,3382196.276
5/26/2014,9.91153107,4753808.681
5/27/2014,10.47834,4893233.294
5/28/2014,6.932947245,3243695.835
5/29/2014,9.5698518,4765297.909
5/30/2014,11.16199378,5161315.286
5/31/2014,11.2931,2339601.845
6/1/2014,13.5202151,2992876.593
6/2/2014,15.425635,4155898.314
6/3/2014,13.96134484,2874476.348
6/4/2014,12.37380538,1254839.494
6/5/2014,11.25351,1609262.671
6/6/2014,11.55213273,1351792.026
6/7/2014,10.4273328,609122.6988
6/8/2014,9.42352535,877719.8505
6/9/2014,9.4138911,1063630.503
6/10/2014,11.68295569,1288989.663
6/11/2014,10.38294181,606014.9154
6/12/2014,9.9255625,811973.1064
6/13/2014,10.55565236,380103.0131
6/14/2014,10.12898144,373773.5549
6/15/2014,10.13499852,303790.6685
6/16/2014,10.1676432,348229.3191
6/17/2014,10.13954361,330846.4899
6/18/2014,10.30681679,393863.7128
6/19/2014,10.7200536,819182.4234
6/20/2014,10.27175737,3903579.829
6/21/2014,9.215364261,1074220.222
6/22/2014,9.402266951,380116.4648
6/23/2014,9.785884797,470210.7441
6/24/2014,9.423310642,326318.6012
6/25/2014,8.904564289,326611.4055
6/26/2014,9.965772486,939568.0389
6/27/2014,9.977186429,363215.1465
6/28/2014,9.454121279,410622.1325
6/29/2014,9.19853237,370239.7836
6/30/2014,8.905915145,1176852.638
7/1/2014,7.973513019,683385.8818
7/2/2014,6.958684419,1042636.46
7/3/2014,7.720150298,947815.0312
7/4/2014,7.463622779,246044.301
7/5/2014,6.994840749,405793.4753
7/6/2014,6.400685284,430228.2591
7/7/2014,6.745739511,374244.4436
7/8/2014,7.077598743,572713.941
7/9/2014,7.055419926,242168.8754
7/10/2014,6.68297474,290502.1511
7/11/2014,6.487428339,349605.4808
7/12/2014,6.496389389,125978.0301
7/13/2014,6.325631704,187590.2081
7/14/2014,6.14558291,242473.661
7/15/2014,6.271541075,384400.1488
7/16/2014,6.325910714,339733.4071
7/17/2014,7.530616135,693616.216
7/18/2014,7.191672972,710373.9808
7/19/2014,7.037044438,86357.8373
7/20/2014,7.081747961,127452.2051
7/21/2014,6.748880535,119005.4829
7/22/2014,6.381218694,181955.5116
7/23/2014,6.344000464,132980.2029
7/24/2014,6.156392097,168021.7277
7/25/2014,6.134026833,236137.5363
7/26/2014,5.947754556,172373.4518
7/27/2014,5.794446686,172400.6753
7/28/2014,5.176261332,400029.6918
7/29/2014,4.759543384,287249.6881
7/30/2014,4.391953449,317912.975
7/31/2014,5.557197131,381497.6803
8/1/2014,5.635668694,249264.5333
8/2/2014,5.684313369,179323.3971
8/3/2014,5.79355063,277507.4597
8/4/2014,5.276815304,175222.8013
8/5/2014,5.363537784,106543.5285
8/6/2014,5.76332745,210840.9207
8/7/2014,5.661054404,138565.763
8/8/2014,5.983443583,266857.2281
8/9/2014,5.591373815,235267.903
8/10/2014,5.63412825,211254.5886
8/11/2014,5.017976576,217867.7226
8/12/2014,5.001637682,90570.56954
8/13/2014,4.81220936,280024.8668
8/14/2014,4.036546142,190730.0475
8/15/2014,3.656998624,273130.8849
8/16/2014,2.921336533,283032.4952
8/17/2014,2.461367067,368912.7817
8/18/2014,1.542033655,693530.3083
8/19/2014,3.303622292,712036.5027
8/20/2014,3.822354596,719614.7411
8/21/2014,3.40111488,235947.176
8/22/2014,3.181573468,282949.5958
8/23/2014,2.981880229,129251.2201
8/24/2014,3.077865154,64845.12077
8/25/2014,2.639406585,127503.226
8/26/2014,2.718577072,152806.1167
8/27/2014,2.28797197,323354.651
8/28/2014,2.347402433,155384.0967
8/29/2014,2.547554538,149080.5392
8/30/2014,2.414138283,80608.89266
8/31/2014,2.437424407,114638.6585
9/1/2014,2.280272721,71990.38026
9/2/2014,2.313325217,51957.08071
9/3/2014,2.631688637,171717.4778
9/4/2014,3.081750735,390462.6742
9/5/2014,2.818353334,239171.1619
9/6/2014,2.944798511,220603.5073
9/7/2014,2.893844546,70190.36722
9/8/2014,2.756873712,88462.40934
9/9/2014,2.890768874,58137.5945
9/10/2014,2.810838448,61077.81354
9/11/2014,2.776814205,39454.42122
9/12/2014,2.821565856,65150.94524
9/13/2014,2.852048971,84464.87703
9/14/2014,2.782944415,92816.2933
9/15/2014,3.055495219,291231.8855
9/16/2014,3.302022792,131141.7706
9/17/2014,3.733850773,576391.1868
9/18/2014,3.862806568,441850.5046
9/19/2014,3.44751882,350937.5795
9/20/2014,3.179580922,209328.288
9/21/2014,2.953436143,140436.3667
9/22/2014,3.329006706,138472.877
9/23/2014,3.398894582,146536.525
9/24/2014,3.341720648,72127.2199
9/25/2014,2.979564747,100608.9608
9/26/2014,2.892675269,99224.36038
9/27/2014,2.834640811,69301.20102
9/28/2014,2.889323035,119063.1501
9/29/2014,2.804542808,72616.10281
9/30/2014,2.705773837,154778.9458
10/1/2014,2.439644704,218873.4474
10/2/2014,2.385146345,151893.4472
10/3/2014,2.372000136,57911.29329
10/4/2014,2.223539553,55028.73328
10/5/2014,2.291286465,55510.75991
10/6/2014,2.234412455,50589.19212
10/7/2014,2.096660901,146407.0155
10/8/2014,2.34451019,60664.71132
10/9/2014,2.341388412,102674.6461
10/10/2014,2.209886081,59214.74577
10/11/2014,2.106950299,79401.22356
10/12/2014,2.130444976,81007.55981
10/13/2014,2.341240714,119258.3732
10/14/2014,2.049321466,213062.1941
10/15/2014,2.060483919,86800.13558
10/16/2014,2.166053373,104474.5048
10/17/2014,2.266134608,142589.2987
10/18/2014,2.234322208,75214.59852
10/19/2014,2.256116974,84398.31296
10/20/2014,2.111889664,149945.941
10/21/2014,2.077310118,103582.77
10/22/2014,2.036236673,120325.2539
10/23/2014,2.082241403,84278.13636
10/24/2014,2.023434984,95067.39748
10/25/2014,1.940094771,78167.43321
10/26/2014,1.918619955,53502.07747
10/27/2014,1.887039053,37843.10217
10/28/2014,1.886273908,49816.54628
10/29/2014,1.610707001,146646.6636
10/30/2014,1.77539834,104371.4237
10/31/2014,1.787422742,57949.73417
11/1/2014,1.653067792,37287.52429
11/2/2014,1.663613591,53643.62808
11/3/2014,1.620030478,45559.69802
11/4/2014,1.634979527,74878.86087
11/5/2014,1.738873039,71896.24792
11/6/2014,1.971461843,98151.57748
11/7/2014,2.115224947,403357.4395
11/8/2014,2.730252273,341748.2396
11/9/2014,3.026308348,401279.0987
11/10/2014,2.520166101,295852.3607
11/11/2014,2.392064349,174181.7927
11/12/2014,2.603069832,234893.0744
11/13/2014,2.565523217,119786.1566
11/14/2014,2.40424988,115757.3098
11/15/2014,2.496969402,100960.9017
11/16/2014,2.738839609,135949.9234
11/17/2014,2.313412705,215444.4932
11/18/2014,2.357943725,226716.956
11/19/2014,2.352583262,85268.70695
11/20/2014,2.235061331,108259.6554
11/21/2014,2.211632185,51922.07093
11/22/2014,2.261182302,56033.18864
11/23/2014,2.30595729,50642.13987
11/24/2014,2.318298644,58283.06145
11/25/2014,2.322656593,56711.05657
11/26/2014,2.357843032,94997.67832
11/27/2014,2.332319203,83781.2316
11/28/2014,2.379628956,45306.29348
11/29/2014,2.368754062,56301.61548
11/30/2014,2.374704317,41742.9992
12/1/2014,2.376683664,45554.17908
12/2/2014,2.428608153,93030.11891
12/3/2014,2.430741219,77667.41383
12/4/2014,2.318681612,70946.2618
12/5/2014,2.355775271,52466.79488
12/6/2014,2.354366706,49586.4458
12/7/2014,2.367247175,63875.04287
12/8/2014,2.290193904,38514.73308
12/9/2014,2.247871161,41632.26265
12/10/2014,2.248106319,38985.995
12/11/2014,2.266427831,32085.99816
12/12/2014,2.26363934,33065.82753
12/13/2014,2.236374916,26579.25248
12/14/2014,2.223177914,29046.92954
12/15/2014,2.09313738,79332.88977
12/16/2014,2.09123362,74077.94534
12/17/2014,1.944065925,90739.16239
12/18/2014,1.810487094,79276.63675
12/19/2014,1.896861184,46272.964
12/20/2014,1.977267388,41789.86442
12/21/2014,1.897378612,75253.30226
12/22/2014,1.886997257,96751.00998
12/23/2014,1.922307212,62986.95565
12/24/2014,1.895140235,120173.7939
12/25/2014,1.804281394,66583.22509
12/26/2014,2.003806993,80682.83428
12/27/2014,1.932904236,43765.29712
12/28/2014,1.945823279,31683.95442
12/29/2014,1.91548031,38178.81795
12/30/2014,1.894453015,33507.13279
12/31/2014,1.957054223,43730.8489
1/1/2015,1.94788404,14969.22737
1/2/2015,1.938119323,34173.44615
1/3/2015,1.738524735,61771.56793
1/4/2015,1.606459176,60185.77749
1/5/2015,1.670693056,43653.76469
1/6/2015,1.716784229,30951.37428
1/7/2015,1.751189966,28674.38502
1/8/2015,1.724086183,39060.17345
1/9/2015,1.724528848,43596.80826
1/10/2015,1.665613103,65245.72311
1/11/2015,1.655766774,44060.88458
1/12/2015,1.654971945,46260.2455
1/13/2015,1.3471611,74560.43705
1/14/2015,1.056445715,39733.96398
1/15/2015,1.291372939,31211.45504
1/16/2015,1.250615339,65855.72207
1/17/2015,1.220226384,28909.07175
1/18/2015,1.297542947,42922.96257
1/19/2015,1.353852567,52775.4436
1/20/2015,1.432357279,70139.59699
1/21/2015,1.567913771,103975.7124
1/22/2015,1.620739959,72876.57025
1/23/2015,1.581105011,69563.28794
1/24/2015,1.741133257,51933.89252
1/25/2015,1.821965381,62476.9139
1/26/2015,1.87285594,109645.947
1/27/2015,1.746177651,82133.0933
1/29/2015,1.639414209,66329.62225
1/30/2015,1.653421931,54662.36239
1/31/2015,1.62058801,33100.16101
2/1/2015,1.921401423,294444.562
2/2/2015,1.942145359,156368.6744
2/3/2015,1.777883172,61134.44175
2/4/2015,1.828546767,57826.38166
2/5/2015,1.781486924,49313.07029
2/6/2015,1.796394432,39883.55771
2/7/2015,1.858069256,30099.69285
2/8/2015,1.837763075,43613.61668
2/9/2015,2.167158928,272013.0182
2/10/2015,2.440778547,230126.7005
2/11/2015,3.256213881,791877.2886
2/12/2015,2.833804403,536676.4239
2/13/2015,2.932286981,228210.2176
2/14/2015,2.853411325,193730.7891
2/15/2015,2.756154709,234627.9702
2/16/2015,2.78787772,77355.52622
2/17/2015,2.633375851,98453.56557
2/18/2015,2.814756966,96740.65779
2/19/2015,2.804009381,83929.61404
2/20/2015,2.686467299,63706.82027
2/21/2015,2.723816062,105754.8078
2/22/2015,2.501911602,74231.75464
2/23/2015,2.519274998,81694.0807
2/24/2015,2.93605616,174149.3498
2/25/2015,2.751406286,136454.309
2/26/2015,2.737995454,75990.40223
2/27/2015,3.021552759,117730.6468
2/28/2015,3.228755064,111176.1148
3/1/2015,3.349151885,87785.78928
3/2/2015,3.537108121,152852.6252
3/3/2015,3.47802263,226618.8647
3/4/2015,3.491585963,194867.02
3/5/2015,3.407245513,143328.7855
3/6/2015,3.354480348,73084.31855
3/7/2015,3.448742404,40122.34734
3/8/2015,3.397084836,28998.13727
3/9/2015,3.571764659,45008.35486
3/10/2015,3.009299141,386879.7619
3/11/2015,3.138960318,160873.6425
3/12/2015,3.070693133,104988.4064
3/13/2015,2.907104911,238380.9453
3/14/2015,2.939997716,137758.1149
3/15/2015,3.109093479,56044.62876
3/16/2015,3.251022013,214577.9835
3/17/2015,3.26577245,79305.9567
3/18/2015,3.106853416,142769.3157
3/19/2015,3.358566078,148231.8426
3/20/2015,3.694966581,279631.0361
3/21/2015,4.582413452,828123.6922
3/22/2015,4.597757411,355157.4322
3/23/2015,4.959046041,358763.6759
3/24/2015,5.066706878,545835.0955
3/25/2015,4.984768122,766837.9823
3/26/2015,4.990672463,376744.9361
3/27/2015,4.795132049,171029.3998
3/28/2015,4.861366511,194038.7893
3/29/2015,4.583519994,211786.6672
3/30/2015,4.411441991,392590.1035
3/31/2015,3.958098143,218811.0701
4/1/2015,3.815953104,218061.3468
4/2/2015,4.514791961,279591.664
4/3/2015,4.337274282,173538.3634
4/4/2015,4.158799666,174631.4184
4/5/2015,4.164466685,136926.1499
4/6/2015,4.11379895,105010.0246
4/7/2015,3.748561692,190496.2605
4/8/2015,3.65809338,141143.357
4/9/2015,3.391806627,159801.7686
4/10/2015,3.219471868,170471.754
4/11/2015,3.32749887,69120.91182
4/12/2015,3.309584235,44392.60737
4/13/2015,3.180647091,84275.55398
4/14/2015,3.082066592,55709.08461
4/15/2015,3.016679535,68847.17752
4/16/2015,3.021079078,74830.91698
4/17/2015,2.822825774,106192.9349
4/18/2015,2.91498891,41615.397
4/19/2015,2.830532664,45847.38883
4/20/2015,2.653539863,97450.86613
4/21/2015,2.89389049,71248.61572
4/22/2015,3.238520868,156761.146
4/23/2015,3.620374314,216813.9338
4/24/2015,3.196373006,138680.5702
4/25/2015,3.106219906,41830.40168
4/26/2015,3.036427301,77372.3649
4/27/2015,2.991051167,76025.14232
4/28/2015,2.913950209,58557.27147
4/29/2015,2.945875563,22793.11621
4/30/2015,2.965958468,67876.91371
5/1/2015,2.749853754,128665.311
5/2/2015,2.747546761,36553.24467
5/3/2015,2.689497917,49489.36644
5/4/2015,2.885808542,84857.2972
5/5/2015,2.852653366,24479.24416
5/6/2015,2.832520458,42780.81872
5/7/2015,2.805639333,50943.55806
5/8/2015,2.760051783,36785.66651
5/9/2015,2.756293119,27496.28273
5/10/2015,2.678261026,46229.99032
5/11/2015,2.75658053,49330.42155
5/12/2015,2.710643689,20567.34225
5/13/2015,2.682052476,23578.25859
5/14/2015,2.838828542,52877.62665
5/15/2015,2.862352976,43104.32704
5/16/2015,2.992691553,53188.61891
5/17/2015,2.906761155,36317.43404
5/18/2015,2.87448412,26491.8864
5/19/2015,2.886687002,29449.75668
5/20/2015,2.8960243,33677.4072
5/21/2015,2.85116236,27727.47942
5/22/2015,2.906591915,81582.5255
5/23/2015,2.870294555,102957.5607
5/24/2015,2.900675854,39134.6334
5/25/2015,2.831489886,39807.94022
5/26/2015,2.69768179,97544.23529
5/27/2015,2.639598826,50620.36374
5/28/2015,2.73154565,55948.89204
5/29/2015,2.811542376,35586.95822
5/30/2015,2.715414634,18999.00149
5/31/2015,2.750765165,40845.72452
6/1/2015,2.660543762,63931.34501
6/2/2015,2.790251747,58185.01817
6/3/2015,2.734919903,55487.74087
6/4/2015,2.792617443,36729.20987
6/5/2015,2.830133913,9742.74124
6/6/2015,2.825763759,23082.71565
6/7/2015,2.806447065,27035.67885
6/8/2015,2.82826577,33128.75266
6/9/2015,2.775784135,41356.92916
6/10/2015,2.700451358,45491.2247
6/11/2015,2.768704244,27432.60695
6/12/2015,2.795407632,53311.30101
6/13/2015,2.805576958,28379.35181
6/14/2015,2.81674211,44451.18457
6/15/2015,2.740867128,69089.99098
6/16/2015,2.960939972,69486.06909
6/17/2015,2.985663957,84034.1575
6/18/2015,2.968078501,66465.4792
6/19/2015,2.884823055,47611.10532
6/20/2015,2.878867867,26498.08435
6/21/2015,2.863330155,19031.22989
6/22/2015,2.901685853,33140.67524
6/23/2015,2.860961554,18600.43991
6/24/2015,2.806364722,25671.18489
6/25/2015,2.833752867,32840.26655
6/26/2015,2.79532808,22162.29155
6/27/2015,2.726567141,32197.49094
6/28/2015,2.738687437,24656.31048
6/29/2015,2.762449548,15186.25147
6/30/2015,2.866928439,27480.78012
7/1/2015,2.821544987,11926.99438
7/2/2015,2.892470527,11322.75196
7/3/2015,2.963518754,32713.20388
7/4/2015,3.090545137,100981.5418
7/5/2015,3.061737107,54254.69687
7/6/2015,3.073624112,60004.14754
7/7/2015,2.963234041,51521.90508
7/8/2015,2.950521013,34669.14956
7/9/2015,3.092335197,88207.20982
7/10/2015,4.003464668,476241.9666
7/11/2015,3.809546814,261772.7922
7/12/2015,4.071790199,84287.30226
7/13/2015,3.702246068,118165.7874
7/14/2015,3.693297294,29887.14707
7/15/2015,3.63324624,69598.62469
7/16/2015,3.529214705,46286.8868
7/17/2015,3.761597578,62154.69222
7/18/2015,3.698483399,103732.421
7/19/2015,3.592757701,42621.79304
7/20/2015,3.652176853,37670.47717
7/21/2015,3.592196677,77036.72245
7/22/2015,3.577553596,26280.20766
7/23/2015,3.583779854,25485.00488
7/24/2015,3.684439251,92615.68773
7/25/2015,3.718862284,42449.3673
7/26/2015,3.758397585,73293.41303
7/27/2015,3.728471056,69990.82097
7/28/2015,3.689215141,63665.25165
7/29/2015,3.622181216,29764.80767
7/30/2015,3.617166407,24964.41172
7/31/2015,3.660558155,42822.27898
8/1/2015,3.623457913,45497.05749
8/2/2015,3.61620735,32246.96461
8/3/2015,3.614007941,37927.52539
8/4/2015,3.619933167,61194.2561
8/5/2015,3.567849712,17449.48865
8/6/2015,3.510134181,22606.55112
8/7/2015,3.265000799,142398.0414
8/8/2015,3.069284817,59600.9663
8/9/2015,3.11425356,51529.07552
8/10/2015,3.073975016,37189.48343
8/11/2015,3.171759539,39190.39089
8/12/2015,3.077402809,47198.20832
8/13/2015,3.046693774,43607.54004
8/14/2015,3.019365477,47132.83266
8/15/2015,2.959105958,26719.05713
8/16/2015,2.927828126,25999.76013
8/17/2015,2.904016473,59566.94392
8/18/2015,2.832277473,37319.72147
8/19/2015,2.632434828,54092.00516
8/20/2015,2.770812699,33699.47729
8/21/2015,2.737291575,30466.54786
8/22/2015,2.65688375,32744.30562
8/23/2015,2.618650113,17655.64039
8/24/2015,2.363406977,18549.39146
8/25/2015,2.535564531,63659.26679
8/26/2015,2.571374052,38166.99689
8/27/2015,2.530952991,26215.00942
8/28/2015,2.61063621,46587.02259
8/29/2015,2.585152103,20538.39992
8/30/2015,2.550816737,8746.926418
8/31/2015,2.579097689,3724.618279
9/1/2015,2.5335673,17611.26841
9/2/2015,2.51870152,28605.52613
9/3/2015,2.461161049,5704.820333
9/4/2015,2.452734106,17808.96272
9/5/2015,2.505938459,17052.588
9/6/2015,2.483795699,10055.33723
9/7/2015,2.376686161,64945.34668
9/8/2015,2.335454802,86539.3348
9/9/2015,2.456754864,60153.59627
9/10/2015,2.37666688,42844.92056
9/11/2015,2.385993285,51882.35146
9/12/2015,2.427137901,49530.47374
9/13/2015,2.311827852,49800.74082
9/14/2015,2.300531346,55376.2251
9/15/2015,2.3247693,52585.89488
9/16/2015,2.363262968,52775.64623
9/17/2015,2.416628133,24081.59993
9/18/2015,2.455057199,33344.36389
9/19/2015,2.359221166,14239.54969
9/20/2015,2.383403912,71667.23476
9/21/2015,2.364439771,84843.18603
9/22/2015,2.465611838,36733.50318
9/23/2015,2.402012829,31768.02862
9/24/2015,2.427126755,31537.38527
9/25/2015,2.44677885,26873.46775
9/26/2015,2.329013742,39362.81129
9/27/2015,2.348770246,20371.10875
9/28/2015,2.380509495,38961.4966
9/29/2015,2.346181513,24952.73526
9/30/2015,2.335546404,34835.15555
10/1/2015,2.279747236,43167.45275
10/2/2015,2.225508583,45976.09562
10/3/2015,2.15667322,45689.34577
10/4/2015,2.171386432,37378.80054
10/5/2015,2.357650523,70705.53109
10/6/2015,2.388557149,17070.027
10/7/2015,2.406682742,32449.36812
10/8/2015,2.365470859,36759.16577
