Date,Monero_price,Monero_volume
5/21/2014,2.47372,499432
5/22/2014,1.40562,242608
5/23/2014,3.14761,216518
5/25/2014,3.53134,305774
5/26/2014,2.770516375,215916.347
5/27/2014,2.056431173,104615.7536
5/28/2014,2.34336853,173422.1354
5/29/2014,1.921884,66382.94512
5/30/2014,1.739067896,114859.8343
5/31/2014,1.91272848,112626.8449
6/1/2014,1.542789697,140732.8715
6/2/2014,1.727336351,48335.7215
6/3/2014,1.982103872,91906.0102
6/4/2014,1.763254075,51748.48861
6/5/2014,1.842686581,0
6/6/2014,1.816170486,0
6/7/2014,1.309933683,45637.21795
6/8/2014,1.257650695,32279.37781
6/9/2014,1.543736481,51114.01592
6/10/2014,1.64805881,172940.8068
6/11/2014,1.606587285,86466.22096
6/12/2014,1.685088269,97671.22517
6/13/2014,1.843542017,84810.21227
6/14/2014,2.33700213,271449.9161
6/15/2014,2.48007591,139903.3397
6/16/2014,3.12435796,376118.645
6/17/2014,2.987230979,261551.0201
6/18/2014,2.77930421,190219.4843
6/19/2014,3.024640274,268268.9389
6/20/2014,4.363278467,592125.8871
6/21/2014,5.007225272,764332.8482
6/22/2014,4.200782575,495630.6645
6/23/2014,3.84147319,432965.6368
6/24/2014,3.240931929,423778.1838
6/25/2014,3.249689161,248355.8864
6/26/2014,2.907025222,114659.2449
6/27/2014,2.184047037,224994.6607
6/28/2014,2.546134915,189069.2684
6/29/2014,2.528477292,138289.4454
6/30/2014,2.461680174,117781.0296
7/1/2014,2.36677816,97727.93603
7/2/2014,2.295130199,98121.86444
7/3/2014,2.624550359,171580.9793
7/4/2014,2.630907239,146101.1226
7/5/2014,2.453088614,68590.02034
7/6/2014,2.380889475,77371.36523
7/7/2014,1.959195821,103255.9592
7/8/2014,2.278167212,98714.72286
7/9/2014,1.993598607,67186.84209
7/10/2014,1.885925884,86166.40498
7/11/2014,1.789565669,115935.1237
7/12/2014,1.720446529,60543.19269
7/13/2014,1.763727187,114597.9626
7/14/2014,1.965316148,96127.41667
7/15/2014,2.101901515,127487.8537
7/16/2014,2.751842157,358842.76
7/17/2014,3.053012846,728093.0596
7/18/2014,2.595511729,310199.0621
7/19/2014,2.871306495,156428.4369
7/20/2014,2.616289864,111655.4733
7/21/2014,3.087791903,256387.743
7/22/2014,3.187961157,263701.9689
7/23/2014,2.948799382,271655.3939
7/24/2014,2.373928349,272453.5157
7/25/2014,2.476452752,261348.2014
7/26/2014,2.613561178,122755.1036
7/27/2014,2.549298259,111765.6765
7/28/2014,2.683307248,147195.1616
7/29/2014,2.602916672,260906.4799
7/30/2014,2.507840447,78804.15377
7/31/2014,2.55681918,107632.8562
8/1/2014,2.63975534,146416.3349
8/2/2014,2.495971999,96449.51459
8/3/2014,2.358410816,140912.4098
8/4/2014,1.998827235,214525.8942
8/5/2014,2.152275221,94283.14655
8/6/2014,2.185339067,74925.78163
8/7/2014,2.135450182,85823.60946
8/8/2014,2.172537178,86460.11193
8/9/2014,2.097593545,71363.40045
8/10/2014,2.034368455,79031.89218
8/11/2014,2.0694984,134071.6872
8/12/2014,1.989879219,110864.9975
8/13/2014,1.888288748,89003.7784
8/14/2014,1.74270068,99105.12933
8/15/2014,1.597821555,178681.904
8/16/2014,1.586734251,81561.85891
8/17/2014,1.465077937,68871.23705
8/18/2014,1.440732959,105454.6705
8/19/2014,1.653704515,101165.8478
8/20/2014,1.840476371,278696.1972
8/21/2014,1.803557891,138300.3788
8/22/2014,1.787759469,115336.5632
8/23/2014,1.808553288,80621.23759
8/24/2014,1.955915441,113330.7541
8/25/2014,2.034747265,181173.9313
8/26/2014,2.000837353,187331.8859
8/27/2014,1.998504059,123385.9024
8/28/2014,2.23680761,251480.0429
8/29/2014,2.204504667,215093.7582
8/30/2014,2.468147518,266692.6083
8/31/2014,2.217483872,302258.1465
9/1/2014,2.05678584,265185.9827
9/2/2014,1.941351502,216082.5179
9/3/2014,2.019060119,155494.1739
9/4/2014,2.044559534,187857.5718
9/5/2014,1.964077491,167714.0389
9/6/2014,1.933826799,118123.3846
9/7/2014,1.862818065,151200.8699
9/8/2014,1.873643871,159630.7581
9/9/2014,1.762171242,126874.6763
9/10/2014,1.956469401,276433.9781
9/11/2014,1.929921772,167558.1239
9/12/2014,1.862221256,163805.9907
9/13/2014,1.82107019,155892.0225
9/14/2014,1.807990078,121265.5216
9/15/2014,1.892573358,132466.1077
9/16/2014,1.827644773,146587.1275
9/17/2014,1.742448655,287682.6646
9/18/2014,1.568138915,255054.1069
9/19/2014,1.45034406,172162.1203
9/20/2014,1.26810249,346511.2167
9/21/2014,1.28123264,244432.9682
9/22/2014,1.248909309,134332.8412
9/23/2014,1.455539854,206265.5833
9/24/2014,1.499367928,117841.6531
9/25/2014,1.38618723,123636.6978
9/26/2014,1.381108292,81550.92561
9/27/2014,1.301639296,95507.67387
9/28/2014,1.215581763,83532.61566
9/29/2014,1.141412319,82381.34278
9/30/2014,1.218564649,82516.52314
10/1/2014,1.191655534,64083.22967
10/2/2014,1.180498743,62372.13442
10/3/2014,1.090699447,113088.3688
10/4/2014,0.982204983,65435.90075
10/5/2014,0.893659004,86248.11072
10/6/2014,0.98004408,68284.52685
10/7/2014,0.991089804,67894.76811
10/8/2014,1.089599715,117194.9697
10/9/2014,1.08859434,64215.82379
10/10/2014,1.130550332,123138.9949
10/11/2014,1.074588958,81128.5871
10/12/2014,1.072619326,57869.50415
10/13/2014,1.095942949,91751.1686
10/14/2014,1.072488279,61640.02071
10/15/2014,0.982716905,102435.3335
10/16/2014,0.991164792,58645.30411
10/17/2014,0.964447289,62627.8313
10/18/2014,0.959551883,59662.82348
10/19/2014,0.98977503,47665.86718
10/20/2014,0.938997557,83309.149
10/21/2014,0.947665128,50187.47809
10/22/2014,0.937859886,62002.57819
10/23/2014,0.846666669,101339.3132
10/24/2014,0.753465662,51081.54703
10/25/2014,0.739252278,55679.22533
10/26/2014,0.680523241,36007.38811
10/27/2014,0.71328245,151915.6315
10/28/2014,0.677423841,83308.94311
10/29/2014,0.628530168,23809.48814
10/30/2014,0.611393277,46616.18817
10/31/2014,0.606707373,36309.47202
11/1/2014,0.581893826,32297.17348
11/2/2014,0.575255484,21929.1069
11/3/2014,0.569500859,39612.82252
11/4/2014,0.548017949,32458.27812
11/5/2014,0.568475655,24617.22932
11/6/2014,0.58546179,27346.04351
11/7/2014,0.613677219,29898.20385
11/8/2014,0.63715198,39947.45604
11/9/2014,0.719293648,43779.9735
11/10/2014,0.728303385,66647.31466
11/11/2014,0.711465369,28792.31
11/12/2014,0.722054474,70226.20231
11/13/2014,0.694433758,40167.52884
11/14/2014,0.684665594,65663.45623
11/15/2014,0.642415602,30451.22939
11/16/2014,0.651971391,26000.27896
11/17/2014,0.580727719,147551.7218
11/18/2014,0.598573919,49846.93038
11/19/2014,0.55292925,24829.00961
11/20/2014,0.520573882,22143.43446
11/21/2014,0.536756419,31334.37422
11/22/2014,0.532179569,27264.64695
11/23/2014,0.52515858,28643.04975
11/24/2014,0.536569865,35602.50862
11/25/2014,0.598425202,85003.72246
11/26/2014,0.558374514,28310.69869
11/27/2014,0.554135635,9862.899862
11/28/2014,0.564963809,16787.78982
11/29/2014,0.567565726,16620.48902
11/30/2014,0.562695739,14234.97993
12/1/2014,0.480976258,73892.48747
12/2/2014,0.527415049,20582.92957
12/3/2014,0.506679723,25166.71015
12/4/2014,0.454258769,16968.36366
12/5/2014,0.427878708,45934.51894
12/6/2014,0.442002502,18467.57489
12/7/2014,0.469525051,21703.10285
12/8/2014,0.447403307,34334.09471
12/9/2014,0.387558591,27312.44171
12/10/2014,0.395045249,17811.62084
12/11/2014,0.398518885,22398.77969
12/12/2014,0.374366857,15559.65214
12/13/2014,0.376165932,17352.68496
12/14/2014,0.386093753,13338.13026
12/15/2014,0.381515993,23202.10983
12/16/2014,0.338951177,39009.95785
12/17/2014,0.339474738,34642.39128
12/18/2014,0.31438665,16910.04396
12/19/2014,0.322619645,15659.63162
12/20/2014,0.334830851,12221.23969
12/21/2014,0.344311944,23859.72681
12/22/2014,0.342774188,18727.95348
12/23/2014,0.380727195,25501.62847
12/24/2014,0.419050979,65740.47338
12/25/2014,0.45431903,56084.31218
12/26/2014,0.433395877,34235.65472
12/27/2014,0.525551277,108452.4591
12/28/2014,0.567757574,117899.1938
12/29/2014,0.488242772,61791.08479
12/30/2014,0.48872274,68368.50688
12/31/2014,0.426334288,35115.18567
1/1/2015,0.466181517,25897.14178
1/2/2015,0.468604546,39572.72086
1/3/2015,0.479987968,44998.23849
1/4/2015,0.405710263,30417.29167
1/5/2015,0.419620608,34894.90654
1/6/2015,0.460105122,34234.66933
1/7/2015,0.465958249,22259.12895
1/8/2015,0.435425318,18123.03982
1/9/2015,0.42112522,17696.08543
1/10/2015,0.416878951,23182.67466
1/11/2015,0.382401624,12997.30376
1/12/2015,0.363511015,11892.86227
1/13/2015,0.302582319,12233.58334
1/14/2015,0.216176653,21322.01321
1/15/2015,0.262722285,14340.27967
1/16/2015,0.278097188,14572.457
1/17/2015,0.242146723,12659.23244
1/18/2015,0.257059474,12166.53044
1/19/2015,0.256153391,17473.27562
1/20/2015,0.239657824,8200.592386
1/21/2015,0.254827255,9703.789167
1/22/2015,0.271806331,15578.67774
1/23/2015,0.280765606,12379.19938
1/24/2015,0.306921095,16271.93062
1/25/2015,0.324097392,25355.9984
1/26/2015,0.314548546,28820.78135
1/27/2015,0.300473642,22251.28377
1/29/2015,0.318543458,28963.93634
1/30/2015,0.296891877,22303.41157
1/31/2015,0.286744854,10159.94273
2/1/2015,0.303784426,17831.80694
2/2/2015,0.299521413,16109.75452
2/3/2015,0.285462442,11371.19543
2/4/2015,0.280402905,19205.69452
2/5/2015,0.272544721,13563.09897
2/6/2015,0.269157996,13672.16031
2/7/2015,0.274864332,12521.85346
2/8/2015,0.263257472,11404.03501
2/9/2015,0.252716765,12757.85016
2/10/2015,0.244303418,14362.56073
2/11/2015,0.232195192,22324.26095
2/12/2015,0.248052289,26317.86451
2/13/2015,0.256009246,12743.59378
2/14/2015,0.281294468,19620.64346
2/15/2015,0.252894532,13440.86315
2/16/2015,0.252957504,8798.875259
2/17/2015,0.252197683,16573.72468
2/18/2015,0.239958513,32781.95533
2/19/2015,0.282298753,35653.76195
2/20/2015,0.302861428,24093.8371
2/21/2015,0.302271351,14759.89216
2/22/2015,0.312443765,30475.45547
2/23/2015,0.333022494,83941.05552
2/24/2015,0.349848224,73329.64087
2/25/2015,0.365986484,36454.88789
2/26/2015,0.357104269,31111.00566
2/27/2015,0.385921421,35440.76741
2/28/2015,0.416520461,67895.57286
3/1/2015,0.419848075,23600.00502
3/2/2015,0.42057786,67354.46221
3/3/2015,0.41306303,22599.72725
3/4/2015,0.413111738,22090.88759
3/5/2015,0.471412304,47650.38286
3/6/2015,0.485652101,76615.93696
3/7/2015,0.464289387,24403.65166
3/8/2015,0.489297765,40440.93833
3/9/2015,0.666208647,118683.1233
3/10/2015,0.792102505,200926.0664
3/11/2015,0.714563299,94309.08981
3/12/2015,0.679270804,66492.48252
3/13/2015,0.645775859,59277.87422
3/14/2015,0.663494959,86732.43502
3/15/2015,0.686349075,67660.43677
3/16/2015,0.794329188,115175.5708
3/17/2015,0.7479342,60562.51542
3/18/2015,0.634239891,50930.08445
3/19/2015,0.676779089,53712.39112
3/20/2015,0.641033397,28389.34167
3/21/2015,0.744612863,62423.54299
3/22/2015,0.776969253,111852.6517
3/23/2015,0.761120345,45526.97185
3/24/2015,0.702173751,52742.22267
3/25/2015,0.768191467,105716.605
3/26/2015,0.738822616,46006.05451
3/27/2015,0.795894175,45551.7374
3/28/2015,0.803712311,76280.86872
3/29/2015,0.717891723,58352.11953
3/30/2015,0.890605552,115545.5862
3/31/2015,0.904278971,208886.7033
4/1/2015,1.002170658,120823.2697
4/2/2015,0.968384183,88018.53926
4/3/2015,0.970653422,147796.5003
4/4/2015,0.86036545,146977.3812
4/5/2015,0.883301835,156771.7475
4/6/2015,0.791069649,38107.11868
4/7/2015,0.784632484,95401.72921
4/8/2015,0.752567795,33039.48628
4/9/2015,0.760823857,25571.50707
4/10/2015,0.800188061,74453.71304
4/11/2015,0.829331963,51053.4514
4/12/2015,0.801633027,26269.22855
4/13/2015,0.690270305,68519.02797
4/14/2015,0.654787831,41425.63459
4/15/2015,0.675239994,24873.75928
4/16/2015,0.68157506,43594.1274
4/17/2015,0.656511622,27396.85011
4/18/2015,0.690381409,39242.17019
4/19/2015,0.66270676,15209.57354
4/20/2015,0.677331604,24849.29409
4/21/2015,0.635745316,103435.4451
4/22/2015,0.57634208,29156.82573
4/23/2015,0.600013212,45643.8834
4/24/2015,0.572527352,19053.03182
4/25/2015,0.559903087,79557.72597
4/26/2015,0.551250492,19864.15444
4/27/2015,0.569345538,26213.6925
4/28/2015,0.476783174,94472.85545
4/29/2015,0.496724032,31314.33105
4/30/2015,0.501741009,29601.55257
5/1/2015,0.497115059,13472.75745
5/2/2015,0.497890009,12415.03668
5/3/2015,0.497929361,13510.4081
5/4/2015,0.4708487,18859.84005
5/5/2015,0.463376744,22008.07101
5/6/2015,0.461614833,29933.2728
5/7/2015,0.473183662,29056.65172
5/8/2015,0.486699263,13650.6951
5/9/2015,0.517834178,34371.85984
5/10/2015,0.564687072,26470.43833
5/11/2015,0.512346523,39746.21135
5/12/2015,0.480873068,26994.30683
5/13/2015,0.464733439,25991.72803
5/14/2015,0.504123603,24357.85242
5/15/2015,0.535276708,36575.77712
5/16/2015,0.603212996,48605.02075
5/17/2015,0.561918943,39684.59513
5/18/2015,0.535568625,64427.09458
5/19/2015,0.515197039,63966.05125
5/20/2015,0.5197685,53401.19029
5/21/2015,0.460134063,113099.0612
5/22/2015,0.467298338,53853.63318
5/23/2015,0.470791268,39942.25364
5/24/2015,0.481039444,12869.96242
5/25/2015,0.466942782,27370.44162
5/26/2015,0.44733945,32505.19744
5/27/2015,0.424931382,42874.01948
5/28/2015,0.441656032,30667.68617
5/29/2015,0.440836893,28759.91857
5/30/2015,0.445111361,16438.83691
5/31/2015,0.454199078,42798.11425
6/1/2015,0.457653791,21919.88774
6/2/2015,0.456172893,41959.96891
6/3/2015,0.454317896,20173.29898
6/4/2015,0.476676327,27241.30625
6/5/2015,0.494611536,32750.39407
6/6/2015,0.525689731,62602.41795
6/7/2015,0.517669557,61134.61296
6/8/2015,0.54113031,61093.3883
6/9/2015,0.497960313,85049.86061
6/10/2015,0.480035129,18041.31686
6/11/2015,0.460926363,38420.18627
6/12/2015,0.475808199,37061.11384
6/13/2015,0.490255902,37931.814
6/14/2015,0.495671939,24550.21061
6/15/2015,0.509733571,26980.05082
6/16/2015,0.498841501,45102.15543
6/17/2015,0.498557895,33362.46489
6/18/2015,0.50155017,18278.51329
6/19/2015,0.51088636,35820.14882
6/20/2015,0.538437965,46919.53904
6/21/2015,0.523173161,19720.93075
6/22/2015,0.538652667,22332.50939
6/23/2015,0.5244009,31618.26504
6/24/2015,0.509916348,27829.63516
6/25/2015,0.503592469,20898.96263
6/26/2015,0.482641361,25022.1263
6/27/2015,0.49177335,24334.58586
6/28/2015,0.468843655,35641.24774
6/29/2015,0.492338572,37555.4222
6/30/2015,0.49477286,19523.96621
7/1/2015,0.497239654,18228.377
7/2/2015,0.491520749,23108.92927
7/3/2015,0.489776449,18331.28883
7/4/2015,0.50589552,9527.349579
7/5/2015,0.518151199,14434.93545
7/6/2015,0.504227639,38544.71568
7/7/2015,0.510652769,15889.04739
7/8/2015,0.513156052,19187.6849
7/9/2015,0.495052442,31086.19792
7/10/2015,0.521978268,30620.41298
7/11/2015,0.533103081,17973.79272
7/12/2015,0.626355529,67480.82866
7/13/2015,0.566346608,16719.32011
7/14/2015,0.567860583,13278.97248
7/15/2015,0.5374622,19411.64554
7/16/2015,0.536564739,13229.6819
7/17/2015,0.531327897,10229.10292
7/18/2015,0.526970839,15969.24058
7/19/2015,0.540991913,14418.86017
7/20/2015,0.544288708,22923.54106
7/21/2015,0.582455198,43458.26999
7/22/2015,0.568182939,29126.38482
7/23/2015,0.573680076,36007.5674
7/24/2015,0.577034697,17499.30373
7/25/2015,0.565430279,27352.97082
7/26/2015,0.577826367,18897.51657
7/27/2015,0.59471337,18286.4812
7/28/2015,0.610727768,31567.44007
7/29/2015,0.587663849,23211.08334
7/30/2015,0.581620148,17699.53716
7/31/2015,0.572853484,18590.257
8/1/2015,0.582660382,38952.23285
8/2/2015,0.614931218,58671.20311
8/3/2015,0.595876209,43025.71807
8/4/2015,0.617942862,23886.25006
8/5/2015,0.618718214,29847.20145
8/6/2015,0.73290621,190042.6417
8/7/2015,0.73176026,130526.4533
8/8/2015,0.6744387,59629.72989
8/9/2015,0.673252738,102901.3378
8/10/2015,0.654966253,32376.5771
8/11/2015,0.604953264,61485.66263
8/12/2015,0.626087284,57827.07364
8/13/2015,0.57903012,46370.03736
8/14/2015,0.6102823,56666.14466
8/15/2015,0.609706962,48083.91865
8/16/2015,0.617511192,61764.55375
8/17/2015,0.607830689,46262.9629
8/18/2015,0.594176438,50445.00252
8/19/2015,0.532516522,38104.9379
8/20/2015,0.596708182,69880.00996
8/21/2015,0.567176391,39007.13532
8/22/2015,0.546778313,22393.21736
8/23/2015,0.540270177,31452.75529
8/24/2015,0.433680666,73291.11498
8/25/2015,0.484770001,32793.78652
8/26/2015,0.498916776,25969.87578
8/27/2015,0.459308157,21783.79891
8/28/2015,0.474293829,23643.16132
8/29/2015,0.474553155,31123.90379
8/30/2015,0.458405055,19877.41032
8/31/2015,0.467310489,20184.87239
9/1/2015,0.455249797,13485.39003
9/2/2015,0.468894776,17792.20787
9/3/2015,0.4559487,25905.2387
9/4/2015,0.467296815,18170.10279
9/5/2015,0.480979025,25868.78026
9/6/2015,0.50178537,20454.92621
9/7/2015,0.49845879,14840.09568
9/8/2015,0.516383724,23499.92056
9/9/2015,0.506588567,46114.86174
9/10/2015,0.496987396,18293.76619
9/11/2015,0.497257298,24755.91239
9/12/2015,0.466715074,21703.81046
9/13/2015,0.461938132,18251.09452
9/14/2015,0.482874756,60137.63913
9/15/2015,0.503004162,39648.19188
9/16/2015,0.508936984,43071.87157
9/17/2015,0.501445638,61637.85341
9/18/2015,0.497565286,12515.8562
9/19/2015,0.494299058,12861.83246
9/20/2015,0.484838429,22970.176
9/21/2015,0.480034818,11178.18644
9/22/2015,0.473379703,19529.92509
9/23/2015,0.463845693,27258.11383
9/24/2015,0.466229103,15783.90283
9/25/2015,0.449105344,71360.72038
9/26/2015,0.452287056,38938.27791
9/27/2015,0.44051715,16451.69678
9/28/2015,0.448946438,23009.07574
9/29/2015,0.436940171,19020.99349
9/30/2015,0.395950493,92515.31095
10/1/2015,0.404896852,27144.71427
10/2/2015,0.410759859,24728.82039
10/3/2015,0.410373942,15570.36437
10/4/2015,0.401050558,7421.465734
10/5/2015,0.422663642,17966.60499
10/6/2015,0.409430863,11460.0638
10/7/2015,0.393595684,19476.68609
10/8/2015,0.391113776,27043.72028
10/9/2015,0.395791982,20539.75673
10/10/2015,0.389239075,13011.65834
10/11/2015,0.381276966,32136.00513
10/12/2015,0.397744171,16704.04946
10/13/2015,0.38827587,20981.90677
10/14/2015,0.385618067,16578.4725
10/15/2015,0.389697879,28378.60016
10/16/2015,0.409185978,37519.52864
10/17/2015,0.421565279,24317.6733
10/18/2015,0.410747635,10963.12105
10/19/2015,0.388111406,28212.57367
10/20/2015,0.401397523,38164.51235
10/21/2015,0.394267408,20800.88196
10/22/2015,0.402472913,15440.27296
10/23/2015,0.393226954,22744.9672
10/24/2015,0.398389349,20410.96885
10/25/2015,0.396917198,19158.02604
10/26/2015,0.381391788,19235.65582
10/27/2015,0.411187131,22281.35469
10/28/2015,0.445534881,39693.02836
10/29/2015,0.446369471,49946.76475
10/30/2015,0.461195042,65996.66888
10/31/2015,0.396015004,19653.37537
11/1/2015,0.419327518,25992.37779
11/2/2015,0.423659182,33627.92642
11/3/2015,0.432564203,62740.20087
11/4/2015,0.48261313,82466.12441
11/5/2015,0.42953674,18519.34722
11/6/2015,0.438094037,16775.42489
11/7/2015,0.452030367,15016.00857
11/8/2015,0.497038237,49049.22267
11/9/2015,0.471766503,33126.18681
11/10/2015,0.458849843,29368.27621
11/11/2015,0.436919062,38722.38216
11/12/2015,0.442171976,45044.30758
11/13/2015,0.461796496,25080.80435
11/14/2015,0.426321274,19728.57143
11/15/2015,0.423245076,20334.00908
11/16/2015,0.436680644,16895.76334
11/17/2015,0.429461768,11633.49642
11/18/2015,0.417633418,18875.36124
11/19/2015,0.417477705,25365.73905
11/20/2015,0.388521982,9349.5858
11/21/2015,0.390972165,29770.51749
11/22/2015,0.391816164,8601.952782
11/23/2015,0.390699862,7844.093334
11/24/2015,0.385639438,13084.62252
11/25/2015,0.388301258,18847.65652
11/26/2015,0.405449997,28956.73001
