date,USDYuanEx
4/29/2013,6.16
4/30/2013,6.16
5/1/2013,6.16
5/2/2013,6.16
5/3/2013,6.16
5/6/2013,6.17
5/7/2013,6.15
5/8/2013,6.14
5/9/2013,6.13
5/10/2013,6.14
5/13/2013,6.15
5/14/2013,6.14
5/15/2013,6.15
5/16/2013,6.15
5/17/2013,6.14
5/20/2013,6.14
5/21/2013,6.14
5/22/2013,6.13
5/23/2013,6.13
5/24/2013,6.13
5/28/2013,6.12
5/29/2013,6.13
5/30/2013,6.13
5/31/2013,6.13
6/3/2013,6.13
6/4/2013,6.13
6/5/2013,6.13
6/6/2013,6.14
6/7/2013,6.13
6/10/2013,6.13
6/11/2013,6.13
6/12/2013,6.13
6/13/2013,6.13
6/14/2013,6.13
6/17/2013,6.12
6/18/2013,6.13
6/19/2013,6.13
6/20/2013,6.13
6/21/2013,6.13
6/24/2013,6.14
6/25/2013,6.14
6/26/2013,6.15
6/27/2013,6.15
6/28/2013,6.14
7/1/2013,6.13
7/2/2013,6.13
7/3/2013,6.13
7/5/2013,6.13
7/8/2013,6.13
7/9/2013,6.13
7/10/2013,6.13
7/11/2013,6.14
7/12/2013,6.14
7/15/2013,6.14
7/16/2013,6.13
7/17/2013,6.14
7/18/2013,6.14
7/19/2013,6.14
7/22/2013,6.14
7/23/2013,6.14
7/24/2013,6.14
7/25/2013,6.13
7/26/2013,6.13
7/29/2013,6.13
7/30/2013,6.13
7/31/2013,6.13
8/1/2013,6.13
8/2/2013,6.13
8/5/2013,6.12
8/6/2013,6.12
8/7/2013,6.12
8/8/2013,6.12
8/9/2013,6.12
8/12/2013,6.12
8/13/2013,6.12
8/14/2013,6.12
8/15/2013,6.11
8/16/2013,6.11
8/19/2013,6.12
8/20/2013,6.12
8/21/2013,6.12
8/22/2013,6.12
8/23/2013,6.12
8/26/2013,6.12
8/27/2013,6.12
8/28/2013,6.12
8/29/2013,6.12
8/30/2013,6.12
9/3/2013,6.12
9/4/2013,6.12
9/5/2013,6.12
9/6/2013,6.12
9/9/2013,6.12
9/10/2013,6.12
9/11/2013,6.12
9/12/2013,6.12
9/13/2013,6.12
9/16/2013,6.12
9/17/2013,6.12
9/18/2013,6.12
9/19/2013,6.12
9/20/2013,6.12
9/23/2013,6.12
9/24/2013,6.12
9/25/2013,6.12
9/26/2013,6.12
9/27/2013,6.12
9/30/2013,6.12
10/1/2013,6.12
10/2/2013,6.12
10/3/2013,6.12
10/4/2013,6.12
10/7/2013,6.12
10/8/2013,6.12
10/9/2013,6.12
10/10/2013,6.12
10/11/2013,6.12
10/15/2013,6.1
10/16/2013,6.1
10/17/2013,6.1
10/18/2013,6.1
10/21/2013,6.09
10/22/2013,6.09
10/23/2013,6.08
10/24/2013,6.08
10/25/2013,6.08
10/28/2013,6.09
10/29/2013,6.09
10/30/2013,6.09
10/31/2013,6.09
11/1/2013,6.1
11/4/2013,6.1
11/5/2013,6.1
11/6/2013,6.09
11/7/2013,6.09
11/8/2013,6.09
11/12/2013,6.09
11/13/2013,6.09
11/14/2013,6.09
11/15/2013,6.09
11/18/2013,6.09
11/19/2013,6.09
11/20/2013,6.09
11/21/2013,6.09
11/22/2013,6.09
11/25/2013,6.09
11/26/2013,6.09
11/27/2013,6.09
11/29/2013,6.09
12/2/2013,6.09
12/3/2013,6.09
12/4/2013,6.09
12/5/2013,6.09
12/6/2013,6.08
12/9/2013,6.06
12/10/2013,6.07
12/11/2013,6.07
12/12/2013,6.07
12/13/2013,6.07
12/16/2013,6.07
12/17/2013,6.07
12/18/2013,6.07
12/19/2013,6.07
12/20/2013,6.07
12/23/2013,6.07
12/24/2013,6.07
12/26/2013,6.07
12/27/2013,6.07
12/30/2013,6.06
12/31/2013,6.05
1/2/2014,6.05
1/3/2014,6.05
1/6/2014,6.05
1/7/2014,6.05
1/8/2014,6.05
1/9/2014,6.05
1/10/2014,6.05
1/13/2014,6.04
1/14/2014,6.04
1/15/2014,6.05
1/16/2014,6.06
1/17/2014,6.05
1/21/2014,6.05
1/22/2014,6.05
1/23/2014,6.05
1/24/2014,6.05
1/27/2014,6.05
1/28/2014,6.05
1/29/2014,6.06
1/30/2014,6.06
1/31/2014,6.06
2/3/2014,6.06
2/4/2014,6.06
2/5/2014,6.06
2/6/2014,6.06
2/7/2014,6.06
2/10/2014,6.06
2/11/2014,6.06
2/12/2014,6.06
2/13/2014,6.06
2/14/2014,6.07
2/18/2014,6.07
2/19/2014,6.08
2/20/2014,6.08
2/21/2014,6.09
2/24/2014,6.1
2/25/2014,6.12
2/26/2014,6.12
2/27/2014,6.13
2/28/2014,6.14
3/3/2014,6.15
3/4/2014,6.14
3/5/2014,6.13
3/6/2014,6.12
3/7/2014,6.13
3/10/2014,6.14
3/11/2014,6.14
3/12/2014,6.14
3/13/2014,6.14
3/14/2014,6.15
3/17/2014,6.18
3/18/2014,6.19
3/19/2014,6.19
3/20/2014,6.23
3/21/2014,6.22
3/24/2014,6.2
3/25/2014,6.2
3/26/2014,6.21
3/27/2014,6.21
3/28/2014,6.21
3/31/2014,6.22
4/1/2014,6.21
4/2/2014,6.21
4/3/2014,6.21
4/4/2014,6.21
4/7/2014,6.21
4/8/2014,6.2
4/9/2014,6.2
4/10/2014,6.21
4/11/2014,6.21
4/14/2014,6.22
4/15/2014,6.22
4/16/2014,6.22
4/17/2014,6.22
4/18/2014,6.22
4/21/2014,6.23
4/22/2014,6.24
4/23/2014,6.24
4/24/2014,6.25
4/25/2014,6.25
4/28/2014,6.25
4/29/2014,6.26
4/30/2014,6.26
5/1/2014,6.26
5/2/2014,6.26
5/5/2014,6.25
5/6/2014,6.23
5/7/2014,6.23
5/8/2014,6.23
5/9/2014,6.23
5/12/2014,6.24
5/13/2014,6.23
5/14/2014,6.23
5/15/2014,6.23
5/16/2014,6.23
5/19/2014,6.24
5/20/2014,6.24
5/21/2014,6.23
5/22/2014,6.23
5/23/2014,6.24
5/27/2014,6.25
5/28/2014,6.25
5/29/2014,6.24
5/30/2014,6.25
6/2/2014,6.25
6/3/2014,6.25
6/4/2014,6.25
6/5/2014,6.25
6/6/2014,6.25
6/9/2014,6.24
6/10/2014,6.22
6/11/2014,6.23
6/12/2014,6.22
6/13/2014,6.21
6/16/2014,6.23
6/17/2014,6.23
6/18/2014,6.23
6/19/2014,6.23
6/20/2014,6.22
6/23/2014,6.23
6/24/2014,6.23
6/25/2014,6.23
6/26/2014,6.22
6/27/2014,6.22
6/30/2014,6.2
7/1/2014,6.2
7/2/2014,6.21
7/3/2014,6.21
7/7/2014,6.2
7/8/2014,6.2
7/9/2014,6.2
7/10/2014,6.2
7/11/2014,6.2
7/14/2014,6.21
7/15/2014,6.21
7/16/2014,6.2
7/17/2014,6.2
7/18/2014,6.21
7/21/2014,6.21
7/22/2014,6.2
7/23/2014,6.2
7/24/2014,6.19
7/25/2014,6.19
7/28/2014,6.19
7/29/2014,6.18
7/30/2014,6.17
7/31/2014,6.17
8/1/2014,6.18
8/4/2014,6.18
8/5/2014,6.17
8/6/2014,6.16
8/7/2014,6.16
8/8/2014,6.16
8/11/2014,6.15
8/12/2014,6.16
8/13/2014,6.15
8/14/2014,6.16
8/15/2014,6.15
8/18/2014,6.14
8/19/2014,6.14
8/20/2014,6.14
8/21/2014,6.15
8/22/2014,6.15
8/25/2014,6.15
8/26/2014,6.15
8/27/2014,6.14
8/28/2014,6.14
8/29/2014,6.14
9/2/2014,6.15
9/3/2014,6.14
9/4/2014,6.14
9/5/2014,6.14
9/8/2014,6.14
9/9/2014,6.14
9/10/2014,6.13
9/11/2014,6.13
9/12/2014,6.13
9/15/2014,6.14
9/16/2014,6.15
9/17/2014,6.14
9/18/2014,6.14
9/19/2014,6.14
9/22/2014,6.14
9/23/2014,6.14
9/24/2014,6.13
9/25/2014,6.14
9/26/2014,6.13
9/29/2014,6.15
9/30/2014,6.14
10/1/2014,6.14
10/2/2014,6.14
10/3/2014,6.14
10/6/2014,6.14
10/7/2014,6.14
10/8/2014,6.14
10/9/2014,6.13
10/10/2014,6.13
10/14/2014,6.13
10/15/2014,6.12
10/16/2014,6.12
10/17/2014,6.12
10/20/2014,6.12
10/21/2014,6.12
10/22/2014,6.12
10/23/2014,6.12
10/24/2014,6.12
10/27/2014,6.12
10/28/2014,6.11
10/29/2014,6.11
10/30/2014,6.11
10/31/2014,6.11
11/3/2014,6.12
11/4/2014,6.12
11/5/2014,6.11
11/6/2014,6.11
11/7/2014,6.12
11/10/2014,6.12
11/12/2014,6.13
11/13/2014,6.12
11/14/2014,6.13
11/17/2014,6.12
11/18/2014,6.12
11/19/2014,6.12
11/20/2014,6.12
11/21/2014,6.12
11/24/2014,6.14
11/25/2014,6.14
11/26/2014,6.14
11/28/2014,6.14
12/1/2014,6.15
12/2/2014,6.15
12/3/2014,6.15
12/4/2014,6.15
12/5/2014,6.15
12/8/2014,6.17
12/9/2014,6.19
12/10/2014,6.18
12/11/2014,6.19
12/12/2014,6.19
12/15/2014,6.19
12/16/2014,6.19
12/17/2014,6.2
12/18/2014,6.21
12/19/2014,6.22
12/22/2014,6.22
12/23/2014,6.23
12/24/2014,6.21
12/29/2014,6.22
12/30/2014,6.2
12/31/2014,6.2
1/2/2015,6.2
1/5/2015,6.22
1/6/2015,6.21
1/7/2015,6.21
1/8/2015,6.21
1/9/2015,6.21
1/12/2015,6.2
1/13/2015,6.2
1/14/2015,6.2
1/15/2015,6.19
1/16/2015,6.21
1/20/2015,6.21
1/21/2015,6.21
1/22/2015,6.21
1/23/2015,6.23
1/26/2015,6.25
1/27/2015,6.24
1/28/2015,6.25
1/29/2015,6.25
1/30/2015,6.25
2/2/2015,6.26
2/3/2015,6.26
2/4/2015,6.25
2/5/2015,6.25
2/6/2015,6.24
2/9/2015,6.25
2/10/2015,6.24
2/11/2015,6.24
2/12/2015,6.24
2/13/2015,6.24
2/17/2015,6.25
2/18/2015,6.25
2/19/2015,6.25
2/20/2015,6.25
2/23/2015,6.25
2/24/2015,6.25
2/25/2015,6.26
2/26/2015,6.26
2/27/2015,6.27
3/2/2015,6.27
3/3/2015,6.27
3/4/2015,6.27
3/5/2015,6.27
3/6/2015,6.26
3/9/2015,6.26
3/10/2015,6.26
3/11/2015,6.26
3/12/2015,6.26
3/13/2015,6.26
3/16/2015,6.26
3/17/2015,6.25
3/18/2015,6.23
3/19/2015,6.2
3/20/2015,6.2
3/23/2015,6.21
3/24/2015,6.2
3/25/2015,6.21
3/26/2015,6.21
3/27/2015,6.21
3/30/2015,6.21
3/31/2015,6.2
4/1/2015,6.2
4/2/2015,6.2
4/3/2015,6.19
4/6/2015,6.19
4/7/2015,6.2
4/8/2015,6.2
4/9/2015,6.21
4/10/2015,6.21
4/13/2015,6.22
4/14/2015,6.21
4/15/2015,6.2
4/16/2015,6.19
4/17/2015,6.2
4/20/2015,6.2
4/21/2015,6.2
4/22/2015,6.19
4/23/2015,6.2
4/24/2015,6.19
4/27/2015,6.22
4/28/2015,6.2
4/29/2015,6.2
4/30/2015,6.2
5/1/2015,6.2
5/4/2015,6.21
5/5/2015,6.21
5/6/2015,6.2
5/7/2015,6.21
5/8/2015,6.21
5/11/2015,6.21
5/12/2015,6.21
5/13/2015,6.2
5/14/2015,6.2
5/15/2015,6.21
5/18/2015,6.2
5/19/2015,6.21
5/20/2015,6.2
5/21/2015,6.2
5/22/2015,6.2
5/26/2015,6.2
5/27/2015,6.2
5/28/2015,6.2
5/29/2015,6.2
6/1/2015,6.2
6/2/2015,6.2
6/3/2015,6.2
6/4/2015,6.2
6/5/2015,6.2
6/8/2015,6.21
6/9/2015,6.2
6/10/2015,6.21
6/11/2015,6.21
6/12/2015,6.21
6/15/2015,6.21
6/16/2015,6.21
6/17/2015,6.21
6/18/2015,6.21
6/19/2015,6.21
6/22/2015,6.21
6/23/2015,6.21
6/24/2015,6.21
6/25/2015,6.21
6/26/2015,6.21
6/29/2015,6.21
6/30/2015,6.2
7/1/2015,6.2
7/2/2015,6.2
7/6/2015,6.21
7/7/2015,6.21
7/8/2015,6.21
7/9/2015,6.21
7/10/2015,6.21
7/13/2015,6.21
7/14/2015,6.21
7/15/2015,6.21
7/16/2015,6.21
7/17/2015,6.21
7/20/2015,6.21
7/21/2015,6.21
7/22/2015,6.21
7/23/2015,6.21
7/24/2015,6.21
7/27/2015,6.21
7/28/2015,6.21
7/29/2015,6.21
7/30/2015,6.21
7/31/2015,6.21
8/3/2015,6.21
8/4/2015,6.21
8/5/2015,6.21
8/6/2015,6.21
8/7/2015,6.21
8/10/2015,6.21
8/11/2015,6.32
8/12/2015,6.38
8/13/2015,6.4
8/14/2015,6.39
8/17/2015,6.39
8/18/2015,6.39
8/19/2015,6.4
8/20/2015,6.39
8/21/2015,6.39
8/24/2015,6.4
8/25/2015,6.41
8/26/2015,6.41
8/27/2015,6.41
8/28/2015,6.39
8/31/2015,6.38
9/1/2015,6.36
9/2/2015,6.35
9/3/2015,6.35
9/4/2015,6.35
9/8/2015,6.37
9/9/2015,6.38
9/10/2015,6.38
9/11/2015,6.37
9/14/2015,6.37
9/15/2015,6.37
9/16/2015,6.37
9/17/2015,6.36
9/18/2015,6.36
9/21/2015,6.37
9/22/2015,6.38
9/23/2015,6.38
9/24/2015,6.38
9/25/2015,6.37
9/28/2015,6.37
9/29/2015,6.36
9/30/2015,6.36
10/1/2015,6.36
10/2/2015,6.36
10/5/2015,6.36
10/6/2015,6.36
10/7/2015,6.36
10/8/2015,6.35
10/9/2015,6.35
10/13/2015,6.34
10/14/2015,6.35
10/15/2015,6.35
10/16/2015,6.35
10/19/2015,6.36
10/20/2015,6.35
10/21/2015,6.35
10/22/2015,6.36
10/23/2015,6.35
10/26/2015,6.35
10/27/2015,6.35
10/28/2015,6.36
10/29/2015,6.36
10/30/2015,6.32
11/2/2015,6.32
11/3/2015,6.32
11/4/2015,6.34
11/5/2015,6.32
11/6/2015,6.32
11/9/2015,6.36
11/10/2015,6.36
11/12/2015,6.37
11/13/2015,6.37
11/16/2015,6.37
11/17/2015,6.38
11/18/2015,6.38
11/19/2015,6.38
11/20/2015,6.38
11/23/2015,6.39
11/24/2015,6.39
11/25/2015,6.39
11/27/2015,6.39
11/30/2015,6.39
12/1/2015,6.39
12/2/2015,6.39
12/3/2015,6.39
12/4/2015,6.39
12/7/2015,6.41
12/8/2015,6.42
12/9/2015,6.43
12/10/2015,6.44
12/11/2015,6.45
12/14/2015,6.46
12/15/2015,6.46
12/16/2015,6.47
12/17/2015,6.48
12/18/2015,6.48
12/21/2015,6.48
12/22/2015,6.48
12/23/2015,6.48
12/24/2015,6.48
12/28/2015,6.48
12/29/2015,6.48
12/30/2015,6.49
12/31/2015,6.48
1/4/2016,6.53
1/5/2016,6.52
1/6/2016,6.56
1/7/2016,6.59
1/8/2016,6.59
1/11/2016,6.57
1/12/2016,6.57
1/13/2016,6.57
1/14/2016,6.59
1/15/2016,6.58
1/19/2016,6.58
1/20/2016,6.58
1/21/2016,6.58
1/22/2016,6.58
1/25/2016,6.58
1/26/2016,6.58
1/27/2016,6.58
1/28/2016,6.57
1/29/2016,6.58
2/1/2016,6.58
2/2/2016,6.58
2/3/2016,6.58
2/4/2016,6.56
2/5/2016,6.57
2/8/2016,6.57
2/9/2016,6.57
2/10/2016,6.57
2/11/2016,6.57
2/12/2016,6.57
2/16/2016,6.52
2/17/2016,6.53
2/18/2016,6.52
2/19/2016,6.52
2/22/2016,6.52
2/23/2016,6.53
2/24/2016,6.53
2/25/2016,6.53
2/26/2016,6.54
2/29/2016,6.55
3/1/2016,6.55
3/2/2016,6.55
3/3/2016,6.53
3/4/2016,6.51
3/7/2016,6.52
3/8/2016,6.5
3/9/2016,6.51
3/10/2016,6.51
3/11/2016,6.49
3/14/2016,6.5
3/15/2016,6.51
3/16/2016,6.52
3/17/2016,6.47
3/18/2016,6.47
3/21/2016,6.48
3/22/2016,6.49
3/23/2016,6.5
3/24/2016,6.51
3/25/2016,6.51
3/28/2016,6.51
3/29/2016,6.51
3/30/2016,6.46
3/31/2016,6.45
4/1/2016,6.48
4/4/2016,6.48
4/5/2016,6.48
4/6/2016,6.48
4/7/2016,6.46
4/8/2016,6.46
4/11/2016,6.46
4/12/2016,6.46
4/13/2016,6.48
4/14/2016,6.48
4/15/2016,6.47
4/18/2016,6.47
4/19/2016,6.46
4/20/2016,6.47
4/21/2016,6.48
4/22/2016,6.5
4/25/2016,6.49
4/26/2016,6.49
4/27/2016,6.49
4/28/2016,6.47
4/29/2016,6.47
5/16/2016,6.5184
5/17/2016,6.517
5/18/2016,6.537
5/19/2016,6.544
5/20/2016,6.5485
5/23/2016,6.5533
5/24/2016,6.5552
5/25/2016,6.5538
